Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX
659,0.0170898,-0.0515747,0.0558472,-0.0886536,-0.0161743,-0.0331116,0.197754,0.0306702,0.0128174
659,0.00915527,-0.0744629,-0.065918,-0.261688,-0.00915527,0.0340271,0.148468,0.00350952,0.0209045
659,0.0227356,-0.025177,-0.0157166,-0.0672913,0.0553894,0.0204468,0.126343,0.0212097,0.014801
659,0.0393677,0.0238037,0.0241089,0.0497437,0.0360107,0.0125122,0.0946045,0.0125122,-0.00717163
659,0.0169373,0.0196838,0.118408,0.0331116,0.00457764,0.0604248,0.104218,0.00717163,0.0334167
659,0.00152588,-0.0134277,0.0770569,0.00152588,0.0276184,0.0195312,0.110779,0.0250244,-0.0120544
659,-0.00640869,-0.0238037,0.0488281,-0.0445557,0.0234985,-0.0917053,0.15213,0.0178528,-0.0105286
659,0.000152588,0.000915527,-0.00183105,-0.0447083,-0.0500488,-0.0617981,0.138702,0.0178528,-0.0317383
659,-0.0180054,-0.0125122,-0.0558472,-0.0416565,-0.0259399,-0.0616455,0.107422,-0.0117493,-0.0286865
659,-0.0187683,-0.0338745,-0.0778198,-0.0274658,-0.00259399,-0.0344849,0.109711,-0.00579834,-0.0224304
660,0.00411987,-0.0297546,-0.0950623,-0.00442505,-0.0654602,0.00793457,0.0898743,-0.0112915,-0.0292969
660,-0.0186157,-0.0308228,-0.10498,-0.0538635,-0.0291443,0.0764465,0.012207,-0.0279236,-0.0256348
660,-0.0100708,-0.0411987,-0.0933838,-0.0268555,-0.0012207,0.09552,-0.0395203,0.0038147,-0.0340271
660,0.0157166,-0.037384,-0.0593567,0.091095,0.0222778,0.100555,-0.0857544,0.00320435,0.00991821
660,-0.0152588,0.00961304,-0.0639343,0.133514,0.00686646,0.0369263,-0.0997925,-0.0186157,-0.00518799
660,0.0157166,0.0497437,0.0149536,0.102081,0.020752,-0.0219727,-0.156708,-0.0157166,-0.00579834
660,0.0518799,0.0337219,0.091095,0.0202942,0.0164795,-0.0143433,-0.176849,-0.017395,0.0228882
660,-0.0088501,0.0366211,0.0849915,0.0244141,0.019989,-0.00244141,-0.200653,0.00274658,0.0427246
660,0.0088501,0.0456238,0.105133,0.0376892,0.0286865,0.0408936,-0.233154,-0.0100708,0.0434875
660,0.0209045,0.0662231,0.116119,0.0611877,0.0242615,-0.0224304,-0.256653,-0.000610352,0.0215149
661,0.0344849,0.0250244,0.0762939,0.101013,0.00106812,-0.0628662,-0.251312,0.000762939,0.0196838
661,0.0515747,0.012207,-0.0553894,0.0845337,0.00686646,-0.0782776,-0.289459,-0.0175476,0.030365
661,0.0289917,-0.125275,-0.0785828,0.0961304,0.0117493,-0.0750732,-0.262756,0.0308228,0.0349426
661,-0.00274658,-0.0946045,-0.100098,0.0575256,0.0160217,-0.0700378,-0.236359,0.0172424,0.0221252
661,0.01297,-0.0511169,-0.105743,0.035553,0.0125122,-0.0582886,-0.231476,0.0337219,0.0210571
661,0.0111389,-0.0140381,-0.152283,-0.0718689,-0.00350952,-0.0379944,-0.22522,0.0137329,0.0172424
661,0.0306702,0.0183105,-0.0708008,-0.125122,0.00305176,0.0190735,-0.261536,0.00823975,-0.00457764
661,0.0106812,0.0392151,0.00991821,-0.262604,0.039978,-0.0415039,-0.276184,0.0262451,-0.01297
661,-0.0106812,0.0112915,0.0270081,-0.267792,-0.0114441,0.0564575,-0.307922,0.0202942,0.020752
661,0.00976562,0.0152588,0.0772095,-0.159454,0.0311279,0.0970459,-0.293579,0.0794983,0.0289917
662,0.00839233,0.0038147,0.0994873,-0.110779,0.0227356,0.1651,-0.317841,0.0575256,0.0259399
662,0.00564575,0.0201416,0.133362,0.018158,0.0239563,0.0196838,-0.33371,0.058136,0.0270081
662,0.00320435,0.0288391,0.0686646,0.0665283,-0.000305176,-0.0256348,-0.234985,0.0178528,0.00366211
662,0.0350952,0.0386047,-0.015564,0.100555,0.00869751,0.00350952,-0.151672,0.0424194,0.017395
