Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX
714,-0.0224304,-0.052948,0.0543213,0.0543213,0.0205994,0.00488281,0.0463867,0.0132751,0.00610352
714,0.00656128,-0.0714111,-0.0221252,0.0439453,-0.000152588,0.00610352,-0.0170898,0.00839233,0.00701904
714,-0.030365,-0.0901794,0.00244141,0.0160217,-0.00656128,-0.00793457,-0.00579834,0.0131226,0.0190735
714,-0.0331116,-0.0669861,-0.0273132,-0.0653076,0.0050354,-0.0140381,-0.0198364,0.00366211,-0.0062561
714,-0.00595093,-0.0520325,-0.00686646,-0.101318,0.0422668,-0.00228882,-0.025177,-0.0149536,0.00228882
714,0.00930786,-0.0648499,0.00274658,-0.151215,0.0111389,0.0253296,-0.0335693,-0.00335693,0.038147
714,0.012207,-0.0749207,-0.0222778,-0.0418091,-0.0125122,0.00320435,0.0291443,0.020752,0.0259399
714,0.0012207,-0.0485229,-0.0367737,-0.00854492,0.0125122,-0.0291443,-0.0138855,-0.00167847,-0.00244141
714,-0.00823975,-0.0157166,-0.042572,-0.0550842,-0.00762939,-0.00549316,-0.00701904,0.00350952,-0.00244141
714,-0.00488281,-0.0253296,-0.00335693,-0.0265503,0.00244141,0.00289917,-0.00289917,-0.0283813,0.0315857
715,-0.0236511,-0.0154114,-0.0187683,0.0224304,0.0213623,0.0131226,0.032959,-0.0228882,-0.0062561
715,-0.0186157,-0.0311279,-0.0492859,0.224457,-0.00137329,0.00701904,-0.0111389,-0.0184631,-0.000305176
715,0.00778198,-0.0312805,-0.0292969,0.284119,-0.0123596,0.00747681,-0.0228882,0.00320435,0.00671387
715,0.00488281,-0.0679016,-0.00411987,0.0392151,0.0257874,-0.00213623,0.0172424,0.0088501,0.0382996
715,0.000610352,-0.0666809,0.0238037,-0.0816345,0.0363159,0.00946045,0.0413513,0.00518799,0.0317383
715,-0.0123596,-0.0578308,0.0239563,0.0837708,0.0143433,-0.00473022,0.0125122,0.012207,0.0192261
715,0.0152588,-0.0570679,0.0430298,0.137787,0.000915527,-0.00808716,0.0257874,0.0163269,-0.00244141
715,0.00289917,-0.114899,0.0532532,0.0132751,-0.00366211,0.0114441,0.0115967,-0.00549316,-0.000762939
715,0.0106812,-0.158691,0.0187683,-0.0440979,0.0193787,0.0135803,-0.00167847,0.0105286,0.0160217
715,0.020752,-0.126953,0.000457764,-0.070343,0.00579834,0.00823975,0.0062561,0.0180054,0.00534058
716,-0.0151062,-0.11673,-0.0134277,0.0363159,0.00244141,-0.0131226,-0.000915527,0.0149536,0.0363159
716,-0.0149536,-0.0564575,-0.0442505,0.153351,-0.00610352,-0.0109863,0.01297,0.00732422,0.0138855
716,-0.000915527,-0.057373,-0.0245667,0.0813293,-0.0227356,0.0149536,-0.00411987,0.00686646,-0.00549316
716,-0.014801,-0.0541687,-0.0100708,-0.0343323,0.00549316,0.0201416,0.0274658,0.00167847,0.0282288
716,-0.027771,-0.0572205,-0.0119019,-0.19577,0.035553,0.0119019,0.0508118,0.0309753,-0.0134277
716,-0.00106812,-0.0302124,-0.00701904,-0.0967407,0.0152588,-0.00671387,0.0315857,0.0393677,0.0106812
716,0.00137329,0.000305176,-0.00930786,-0.0360107,0.0349426,-0.00305176,-0.0126648,0.0645447,-0.00457764
716,0.00915527,-0.0137329,-0.00732422,-0.14801,0.0332642,-0.00213623,-0.018158,0.0274658,0.0271606
716,0.0114441,-0.00595093,-0.0372314,-0.10788,0.0421143,-0.0050354,0.00854492,-0.00915527,0.0184631
716,0.00991821,0.0411987,-0.0447083,0.0979614,-0.00289917,0.0224304,-0.0106812,-0.0337219,-0.00106812
717,0.0143433,0.0267029,-0.050354,0.160522,-0.0183105,-0.00671387,-0.00473022,-0.0473022,-0.00259399
717,-0.00106812,-0.057373,-0.0151062,0.110626,-0.000152588,-0.00228882,-0.0234985,-0.0410461,0.0531006
717,0.00656128,-0.0370789,-0.0331116,-0.0167847,-0.00732422,0.018158,-0.0253296,-0.0144958,0.0268555
717,0.0363159,-0.0247192,0.00564575,0.0198364,-0.0125122,-0.000457764,0.0257874,-0.0141907,0.039978
717,0.0491333,-0.0137329,0.0617981,-0.0413513,0.00579834,-0.00350952,0.00473022,-0.00640869,-0.0183105
717,0.0436401,-0.0209045,0.131378,-0.0921631,0.0114441,0.00518799,-0.00289917,0.0363159,0.0245667
717,0.0364685,-0.00564575,0.140686,-0.16449,0.00198364,0.0172424,0.00350952,0.0265503,0.0236511
717,0.0323486,0.00488281,0.108948,-0.217438,0.0241089,-0.000457764,0.0117493,0.0405884,0.00549316
717,0.014801,0.0131226,0.0146484,-0.264893,0.0146484,0.0100708,0.0111389,0.0234985,-0.00473022
717,0.020752,0.0646973,-0.0120544,-0.263977,-0.0102234,0.0125122,-0.00961304,0.0196838,-0.0234985
718,0.0267029,0.0558472,0.0268555,0.0773621,-0.0123596,0.0149536,-0.00549316,0.00854492,0.0233459
718,0.0253296,0.0886536,0.0233459,0.290375,-0.0131226,0.0221252,-0.00320435,-0.0151062,-0.0286865
718,0.0125122,0.0798035,0.0213623,0.237274,0.017395,0.00839233,0.0231934,0.0254822,0.0163269
718,0.0402832,0.037384,0.00320435,0.241241,-0.0466919,0.00259399,0.00198364,-0.0012207,0.0230408
718,0.0476074,0.0196838,0.03479,0.124054,-0.0245667,0.00717163,-0.00274658,0.00823975,0.000305176
718,0.0119019,0.0410461,0.0436401,0.0968933,-0.00732422,0.0175476,0.0201416,0.00717163,-0.0209045
718,0.00579834,0.0648499,-0.0135803,-0.0845337,0.0282288,-0.00640869,0.0328064,0.0389099,0.00869751
718,0.0143433,0.0756836,-0.0305176,-0.0389099,0.0692749,-0.0119019,0.0392151,0.0286865,0.0265503
718,-0.00213623,0.0785828,-0.0204468,-0.0250244,0.00183105,0.00991821,0.00396729,0.0128174,0.0244141
718,-0.00366211,0.101929,0.0151062,0.0717163,0.0112915,0.00427246,-0.0167847,0.00427246,0.00564575
719,-0.0280762,0.0541687,0.00198364,0.143585,-0.00213623,0.00579834,-0.00732422,-0.00289917,0.0117493
719,-0.00396729,0.0453186,0.0169373,-0.0128174,-0.00839233,0.00762939,0.00228882,-0.0482178,-0.00991821
719,0.0262451,0.0201416,-0.00396729,-0.085907,-0.00549316,-0.000152588,0.0157166,-0.0192261,-0.0213623
719,0.0126648,-0.0151062,-0.0483704,0.0665283,-0.0114441,-0.00198364,0.00579834,-0.0140381,0.0157166
719,0.0143433,0.00305176,-0.0479126,0.11322,0.010376,0.00213623,0.0300598,0.0276184,0.0221252
719,0.0117493,-0.0387573,-0.0306702,0.167847,0.0187683,0.00762939,0.0172424,0.0286865,0.00991821
719,0.0202942,-0.00427246,-0.0163269,0.101471,0.00961304,0.0132751,0.0038147,0.0233459,0.0119019
719,0.0172424,-0.038147,-0.0363159,-0.0535583,0.0212097,-0.00213623,0.0337219,0.01297,0.0183105
719,-0.0117493,-0.108795,-0.0411987,-0.187378,0.0126648,0.0189209,0.0115967,0.0343323,-0.0115967
719,0.0370789,-0.138702,-0.0299072,-0.200348,0.0410461,0.0242615,0.0175476,0.0450134,-0.00152588
720,0.0358582,-0.144653,-0.032959,-0.172882,0.0102234,0.0238037,0.0178528,0.0535583,-0.0144958
720,0.0740051,-0.105438,-0.0109863,-0.075531,0.0228882,0.00411987,0.0274658,0.0195312,0.00167847
720,0.0767517,-0.101471,-0.00427246,0.0878906,-0.012207,0.0126648,0.0143433,0.0106812,-0.00656128
720,0.043335,-0.0730896,0.0408936,0.0666809,0.0454712,0.000457764,-0.0196838,0.0215149,0.00167847
720,0.0442505,-0.0190735,0.068512,0.0901794,-0.0196838,0.0117493,-0.000305176,-0.0175476,-0.0180054
720,-0.00732422,0.0332642,0.0917053,0.00213623,-0.00564575,0.032196,0.0238037,-0.00442505,-0.00579834
720,-0.0241089,-0.00732422,0.108337,-0.0750732,0.0212097,0.00366211,0.0151062,-0.0450134,-0.00244141
720,-0.00930786,-0.0204468,0.0971985,0.119629,-0.00457764,0.0164795,0.0247192,0.0144958,-0.0038147
720,-0.00289917,0.0126648,0.0778198,0.237579,-0.059967,0.0193787,0.0111389,0.0253296,0.0166321
720,-0.00442505,-0.0160217,0.0164795,0.218811,-0.0190735,-0.0177002,0.00854492,0.0221252,-0.0128174
721,-0.012207,-0.00152588,-0.0131226,0.126953,-0.0111389,0.00457764,0.000915527,0.0511169,0.0219727
721,0.00823975,0.00427246,-0.0260925,0.0730896,0.00610352,0.0157166,-0.0224304,0.0431824,0.0163269
721,0.0100708,0.0131226,-0.0550842,-0.0912476,0.012207,0.0114441,-0.00701904,0.0299072,0.0283813
721,0.00991821,-0.0109863,-0.0683594,-0.215607,0.00534058,0.00839233,0.0193787,0.0238037,0.0271606
721,0.0131226,-0.0117493,-0.0790405,-0.119019,0.0450134,-0.0196838,0.0012207,0.0437927,0.058136
721,0.0119019,0.0144958,-0.0531006,-0.15564,0.0291443,0.00152588,0.0140381,0.0224304,0.000915527
721,0.0279236,-0.000305176,-0.00991821,-0.063324,0.00976562,0.0259399,-0.00579834,0.0270081,0.00305176
721,0.0296021,-0.0488281,0.00320435,0.0186157,0.0245667,0.0167847,0.0114441,0.00411987,0.0257874
721,0.0169373,-0.0454712,0.018158,0.210571,-0.0114441,0.00701904,-0.0187683,-0.0302124,0.0149536
721,0.00793457,-0.0479126,-0.00610352,0.335693,0.0134277,0.0205994,0.0157166,-0.0285339,-0.0270081
