Frame,GLUT_MED,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MAX
342,0.020752,0.00579834,0.0257874,0.0822449,-0.0672913,0.00747681,-0.0238037,-0.0187683,-0.00427246
342,-0.0108337,-0.0012207,0.0465393,0.057373,-0.10849,-0.000457764,-0.0358582,0.0360107,0.0137329
342,0.00335693,0.00823975,0.0247192,0.0308228,-0.0694275,-0.00671387,-0.0247192,-0.0088501,0.00350952
342,0.00396729,0.0183105,0.0398254,0.0288391,-0.0648499,-0.0111389,0.000915527,-0.00427246,0.0354004
342,0.0114441,0.0222778,0.038147,0.0848389,-0.00747681,0.00900269,-0.00717163,-0.00350952,0.0227356
342,0.0088501,0.0143433,0.0782776,0.0408936,-0.0726318,0.000762939,-0.00305176,-0.000305176,0.0178528
342,0.0238037,0.0202942,0.0759888,0.0108337,-0.106659,0.0297546,-0.00747681,0.0151062,0.0485229
342,0.0152588,-0.00396729,0.0801086,0.038147,-0.11734,-0.0169373,-0.0283813,-0.00106812,0.0363159
342,-0.00823975,0.00320435,0.0741577,0.0245667,-0.0863647,0.00396729,-0.00244141,0.0216675,0.0259399
342,-0.00213623,-0.00686646,0.042572,0.0257874,-0.0546265,0.00259399,0.00549316,-0.00793457,-0.00259399
343,0.0166321,-0.000457764,0.0747681,0.0630188,0.0163269,-0.00106812,-0.0361633,0.0222778,0.0166321
343,0.0146484,-0.0143433,0.0267029,0.108185,-0.0627136,0.00350952,0.0111389,-0.0106812,0.00183105
343,0.0170898,-0.0184631,0.0152588,0.0708008,-0.0587463,0.0131226,0.00411987,0.0109863,0.0350952
343,0.0288391,-0.00671387,0.00411987,0.0796509,0.0657654,0.0151062,0.00259399,0.0279236,0.0149536
343,0.020752,0.00274658,-0.0363159,0.0621033,0.0360107,-0.00289917,0.0038147,-0.00473022,0.0238037
343,0.0169373,0.017395,-0.0514221,0.0747681,0.166626,0.0143433,-0.0309753,0.0305176,0.025177
343,0.0062561,0.00396729,-0.0160217,0.0784302,0.0689697,-0.0128174,-0.0166321,0.00671387,0.0123596
343,0.00610352,0.0115967,0.0219727,0.0686646,0.0012207,0.0012207,-0.0358582,0.0164795,0.0163269
343,0.0209045,-0.00564575,0.0413513,0.0523376,-0.139465,-0.0038147,0.0221252,-0.00747681,0.0106812
343,0.0187683,0.0154114,0.0576782,0.0238037,-0.267181,0.000305176,0.0201416,0.0204468,0.042572
344,0.00991821,0.0154114,0.0640869,0.0535583,-0.11734,-0.0262451,0.00717163,0.0393677,0.0140381
344,-0.00183105,0.00839233,0.0550842,0.0656128,0.155792,0.0161743,0.0210571,0.0276184,0.0578308
344,0.0152588,0.0160217,0.0320435,0.0933838,0.296936,-0.000915527,0.0457764,0.0273132,0.0311279
344,-0.00320435,0.0296021,0.0106812,0.0840759,0.337067,0.010376,0.0378418,0.0305176,0.0520325
344,0.0340271,0.00869751,0.0038147,0.0808716,0.339661,0.00411987,0.0164795,0.00808716,0.0437927
344,-0.019989,-0.0167847,0.0396729,0.0654602,0.226746,-0.00915527,0.000457764,0.0698853,0.0376892
344,-0.0332642,0.0119019,0.0306702,0.0672913,0.175476,-0.0210571,-0.0350952,0.0608826,0.0196838
344,-0.0318909,-0.00411987,0.0260925,0.0558472,-0.0521851,-0.00640869,-0.0418091,0.0169373,0.0193787
344,-0.0248718,0.0100708,0.0285339,0.0497437,-0.132294,0.0144958,-0.0230408,0.0216675,0.0437927
344,0.0434875,0.0109863,0.0163269,0.0772095,-0.00411987,0.0254822,0.00274658,-0.00808716,0.0250244
345,0.0694275,0.0315857,0.0202942,0.0628662,-0.0619507,0.0205994,0.0256348,0.0141907,0.0582886
345,0.0204468,0.00244141,0.0128174,0.0671387,-0.0538635,0.0233459,0.0706482,-0.0216675,0.0305176
345,0.0309753,0.0215149,0.012207,0.0219727,-0.0215149,0.0259399,0.0434875,0.00289917,0.0723267
345,0.0248718,-0.010376,-0.0485229,0.0416565,0.0930786,0.00976562,0.0268555,0.0178528,0.0326538
345,0.0161743,-0.0012207,-0.0749207,0.0613403,0.131989,0.0242615,0.0254822,0.00137329,0.0358582
345,0.0328064,0.0012207,-0.108337,0.0157166,0.0601196,0.0202942,0.0189209,0.0123596,0.0250244
345,0.0360107,0.0297546,-0.09552,-0.030365,0.00656128,-0.00732422,0.0132751,-0.00335693,0.017395
345,0.0473022,0.0300598,-0.0115967,-0.0723267,-0.0640869,0.0111389,0.0154114,0.00213623,-0.00473022
345,-0.00976562,0.0154114,0.0354004,-0.0587463,-0.184784,-0.01297,0.0569153,-0.0473022,-0.0166321
345,0.00259399,0.0050354,0.0621033,-0.0523376,-0.162201,-0.00732422,0.0340271,0.010376,0.0196838
346,0.0119019,-0.000305176,0.0709534,-0.0682068,-0.144501,-0.00488281,0.0575256,-0.0175476,-0.0123596
