Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX
914,-0.000762939,-0.0137329,0.00732422,0.00610352,0.0175476,-0.00732422,-0.0219727,0.017395,0.0436401
914,-0.0268555,0.0088501,0.0202942,0.0193787,-0.00396729,0.0205994,0.00518799,0.00457764,-0.00183105
914,0.0152588,0.0222778,-0.0117493,-0.0248718,0.0276184,0.0190735,-0.017395,-0.0149536,0.0137329
914,0.00152588,-0.0102234,-0.00289917,-0.00534058,0.0314331,-0.00335693,-0.0408936,0.00488281,0.0375366
914,-0.00518799,0.0180054,0.0198364,0.0112915,-0.018158,0.0111389,0.00640869,-0.0105286,-0.00137329
914,0.0318909,0.0323486,-0.0138855,-0.0141907,0.0164795,0.00564575,0.0350952,0.00366211,0.00991821
914,0.0393677,0.0062561,-0.00930786,0.0216675,0.030365,0.00244141,0.0466919,0.00167847,0.0337219
914,0.0320435,0.0349426,0.0341797,-0.00579834,0.000457764,-0.0114441,0.0695801,-0.00183105,-0.00167847
914,0.0823975,0.0502014,0.00228882,-0.0115967,0.0439453,0.0413513,0.0442505,0.000762939,0.0257874
914,0.0476074,-0.0263977,-0.00671387,0.000152588,0.00320435,0.00106812,0.0152588,-0.000762939,0.0152588
915,0.0531006,0.0154114,0.0117493,0.00305176,0.00640869,0.00198364,0.0271606,-0.0213623,-0.0123596
915,0.0227356,0.0178528,-0.00839233,0.00640869,0.0271606,0.0114441,0.0050354,-0.0416565,0.0189209
915,-0.0111389,-0.0112915,0.0088501,0.0212097,0.00198364,0.000915527,0.00656128,-0.0292969,0.0323486
915,-0.0392151,0.0111389,0.00167847,-0.0088501,0.00701904,-0.00427246,0.0196838,-0.022583,-0.0151062
915,-0.015564,-0.0212097,-0.017395,0.0286865,0.0370789,0.0144958,-0.00854492,0.0450134,0.00961304
915,-0.00167847,-0.0160217,-0.00350952,0.0163269,0.012207,-0.00915527,-0.00946045,0.0360107,0.0283813
915,-0.0257874,0.0169373,0.03479,-0.00198364,0.010376,0.0250244,0.0288391,0.0119019,-0.00747681
915,0.0245667,0.0253296,0.00778198,-0.00320435,0.00930786,-0.00167847,-0.00549316,0.0192261,0.0227356
915,0.0105286,0.0062561,0.00198364,0.0457764,-0.00518799,-0.00335693,0.037384,0.0260925,0.0219727
915,0.0190735,0.0138855,0.0106812,-0.0050354,0.015564,0.0337219,0.0196838,-0.01297,-0.0119019
916,0.0241089,-0.0196838,-0.010376,-0.0012207,0.0331116,0.0344849,-0.0038147,0.0247192,0.0241089
916,-0.00701904,-0.00946045,0.0161743,0.022583,-0.00274658,-0.0268555,-0.00289917,-0.0170898,0.0169373
916,0.0218201,0.0318909,0.00366211,-0.0282288,-0.00411987,0.00946045,0.0167847,-0.0311279,-0.00839233
916,0.0434875,0.0375366,-0.0209045,0.000915527,0.0415039,0.0125122,0.00518799,0.000305176,0.00579834
916,0.0184631,0.00656128,0.0154114,0.0349426,0.00549316,0.00595093,0.0117493,0.0241089,0.00244141
916,0.017395,0.0128174,0.010376,-0.0157166,-0.00137329,0.0364685,0.0402832,0.022583,0.00869751
916,0.0183105,-0.00778198,-0.0212097,0.00534058,0.0260925,0.0170898,-0.00244141,0.0364685,0.0204468
916,-0.0262451,0.0177002,-0.00427246,0.0186157,-0.00167847,-0.0292969,0.022583,0.0341797,0.0280762
