Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0109863,-0.526276,-0.032196,0.190582,-0.00854492,0.00900269,-0.0187683,0.0114441,0.0556946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.00915527,-0.500336,-0.045929,0.0450134,0.0151062,0.0276184,-0.00869751,-0.045166,0.0163269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.030365,-0.556641,-0.0311279,-0.0648499,0.00427246,0.000457764,0.00335693,-0.0117493,0.0219727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0578308,-0.532074,-0.0282288,-0.198059,0.0234985,0.0201416,-0.000915527,-0.0238037,0.0260925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0309753,-0.496674,-0.0364685,0.0935364,0.0178528,-0.0158691,-0.00213623,0.000610352,0.0354004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0494385,-0.396271,-0.0799561,0.0636292,-0.000915527,0.0221252,0.00656128,-0.0358582,0.000305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.00717163,-0.346985,-0.0704956,0.264435,0.0102234,0.0135803,0.00717163,-0.0158691,0.0149536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0454712,-0.31723,-0.0691223,0.275574,0.0163269,0.0305176,-0.00106812,-0.0424194,0.0263977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.00488281,-0.340271,-0.078125,0.178375,0.00549316,0.00747681,0.00518799,-0.0338745,0.00152588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0601196,-0.319061,-0.0852966,0.262146,0.0340271,0.0250244,-0.0163269,-0.0541687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,0.00488281,-0.291138,-0.0672913,0.179749,0.0193787,-0.0236511,0.00473022,-0.0140381,0.00732422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,0.0230408,-0.272675,-0.0811768,-0.0799561,0.0149536,0.0349426,0.0112915,0.00152588,0.0050354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,-0.0323486,-0.309906,-0.0785828,-0.206909,-0.00915527,-0.0160217,0.010376,0.0440979,0.018158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
